"descricao","data","cartao","lançamento","categoria","tipo","valor"
"cartão principal","•••• •••• •••• 4221","","","","",""
"vencimento","10/05","","","","",""
"","","","","","",""
"","28/04/2025","•••• •••• •••• 1968","iof internacional","outros","compra à vista","-r$ 6,05"
"","27/04/2025","•••• •••• •••• 1968","google one             sao paulo     bra","servicos","compra à vista","-r$ 389,90"
"","27/04/2025","•••• •••• •••• 1968","zapier com charge      san francisco ca","compras","compra à vista","-r$ 178,99"
"","27/04/2025","•••• •••• •••• 1968","facebk  xxq2bplw52     sao paulo     bra","servicos","compra à vista","-r$ 653,09"
"","27/04/2025","•••• •••• •••• 1968","google one             sao paulo     bra","servicos","compra à vista","-r$ 49,99"
"","24/04/2025","•••• •••• •••• 1968","facebk  ltsl3m4x52     sao paulo     bra","servicos","compra à vista","-r$ 593,05"
"","23/04/2025","•••• •••• •••• 1968","iof internacional","outros","compra à vista","-r$ 30,40"
"","22/04/2025","•••• •••• •••• 1968","gtowizard com          praha         pra","ensino","compra à vista","-r$ 899,44"
"","21/04/2025","•••• •••• •••• 1968","iof internacional","outros","compra à vista","-r$ 77,91"
"","21/04/2025","•••• •••• •••• 1968","facebk  4nrytlyw52     sao paulo     bra","servicos","compra à vista","-r$ 539,29"
"","21/04/2025","•••• •••• •••• 1968","iof internacional","outros","compra à vista","-r$ 1,09"
"","21/04/2025","•••• •••• •••• 1968","iof internacional","outros","compra à vista","-r$ 38,50"
"","21/04/2025","•••• •••• •••• 1968","iof internacional","outros","compra à vista","-r$ 14,34"
"","21/04/2025","•••• •••• •••• 1968","iof internacional","outros","compra à vista","-r$ 107,67"
"","20/04/2025","•••• •••• •••• 1968","streamyard com         wilmington    de","compras","compra à vista","-r$ 424,16"
"","19/04/2025","•••• •••• •••• 1968","facebk  jd3aqlyw52     sao paulo     bra","servicos","compra à vista","-r$ 490,03"
"","19/04/2025","•••• •••• •••• 1968","openai  chatgpt subscr san francisco ca","compras","compra à vista","-r$ 1.139,00"
"","19/04/2025","•••• •••• •••• 1968","frame io               san jose      ca","compras","compra à vista","-r$ 2.305,05"
"","18/04/2025","•••• •••• •••• 1968","slack t08855r4pu1      dublin        dub","compras","compra à vista","-r$ 32,28"
"","17/04/2025","•••• •••• •••• 1968","elevenlabs io          new york      ny","compras","compra à vista","-r$ 3.185,45"
"","17/04/2025","•••• •••• •••• 1968","facebk  etccwlgw52     sao paulo     bra","servicos","compra à vista","-r$ 445,40"
"","16/04/2025","•••• •••• •••• 1968","iof internacional","outros","compra à vista","-r$ 116,74"
"","16/04/2025","•••• •••• •••• 1968","panda video            santos        bra","outros","compra à vista","-r$ 1.493,82"
"","16/04/2025","•••• •••• •••• 1968","facebk  79ntemqw52     sao paulo     bra","servicos","compra à vista","-r$ 404,69"
"","15/04/2025","•••• •••• •••• 1968","iof internacional","outros","compra à vista","-r$ 1,04"
"","15/04/2025","•••• •••• •••• 1968","zoom com 888 799 9666  san jose      ca","outros","compra à vista","-r$ 3.453,89"
"","14/04/2025","•••• •••• •••• 1968","facebk  8m4qyk4w52     sao paulo     bra","servicos","compra à vista","-r$ 367,18"
"","14/04/2025","•••• •••• •••• 1968","elevenlabs  82feb2e9   new york      ny","compras","compra à vista","-r$ 30,67"
"","13/04/2025","•••• •••• •••• 1968","facebk  dquk8mqw52     sao paulo     bra","servicos","compra à vista","-r$ 166,30"
"","12/04/2025","•••• •••• •••• 1968","iof internacional","outros","compra à vista","-r$ 41,54"
"","10/04/2025","•••• •••• •••• 0118","pagto debito automatico","outros","compra à vista","r$ 3.813,29"
"","10/04/2025","•••• •••• •••• 1968","clipto monthly apr 2   san francisco ca","compras","compra à vista","-r$ 155,76"
"","10/04/2025","•••• •••• •••• 1968","iof internacional","outros","compra à vista","-r$ 1,26"
"","10/04/2025","•••• •••• •••• 1968","iof internacional","outros","compra à vista","-r$ 5,26"
"","10/04/2025","•••• •••• •••• 1968","envato                 61383766284   ut","entretenimento","compra à vista","-r$ 1.228,89"
"","09/04/2025","•••• •••• •••• 1968","facebk  7ndd3lyw52     sao paulo     bra","servicos","compra à vista","-r$ 249,01"
"","09/04/2025","•••• •••• •••• 1968","facebk  wprl8nlw52     sao paulo     bra","servicos","compra à vista","-r$ 274,08"
"","09/04/2025","•••• •••• •••• 1968","gyazo com              sunnyvale     ca","compras","compra à vista","-r$ 37,34"
"","08/04/2025","•••• •••• •••• 1968","facebk  pr9r5nlw52     sao paulo     bra","servicos","compra à vista","-r$ 226,41"
"","07/04/2025","•••• •••• •••• 4221","ebn     activecamp     porto alegre  bra","outros","compra à vista","-r$ 2.140,27"
"","07/04/2025","•••• •••• •••• 1968","iof internacional","outros","compra à vista","-r$ 4,10"
"","07/04/2025","•••• •••• •••• 1968","facebk  qlqp3nlw52     sao paulo     bra","servicos","compra à vista","-r$ 205,04"
"","06/04/2025","•••• •••• •••• 1968","facebk  5gqmwkyw52     sao paulo     bra","servicos","compra à vista","-r$ 186,63"
"","06/04/2025","•••• •••• •••• 1968","dm envato              sao paulo     bra","servicos","compra à vista","-r$ 19,95"
"","06/04/2025","•••• •••• •••• 1968","iof internacional","outros","compra à vista","-r$ 6,15"
"","06/04/2025","•••• •••• •••• 1968","pokergo subscription   las vegas     nv","entretenimento","compra à vista","-r$ 121,26"
"","05/04/2025","•••• •••• •••• 1968","facebk  2qg8wk4x52     sao paulo     bra","servicos","compra à vista","-r$ 169,08"
"","05/04/2025","•••• •••• •••• 1968","zapier com charge      san francisco ca","compras","compra à vista","-r$ 181,92"
"","04/04/2025","•••• •••• •••• 1968","facebk  k6dqvmlw52     sao paulo     bra","servicos","compra à vista","-r$ 139,33"
"","04/04/2025","•••• •••• •••• 1968","facebk  q5n75lgw52     sao paulo     bra","servicos","compra à vista","-r$ 153,78"
"","17/09/2024","•••• •••• •••• 4221","asa move on registro d joinville     sc","outros","parcela 8/10","-r$ 1.586,00"
"total","","","","","","-r$ 20.955,18"
