loja da caldeira
relatório contas a pagar
emitido em  4 de julho de 2023        às 09:38                                                        página:    1
agrupado por classificação e ordenado por data vecto
nr.docu  seq/parc    cód.fo  razão fornecedo                      data ve  vlr bruto     ep  cód.r  plano conta
-------  ----------  ------  -----------------------------------  -------  ------------  --  -----  ---------------------
8761        1724 -       14  expresso nordeste linhas rodov. ltd  01/06/2023        179.59   1  2502   pgto. frete compra
9225        1728 -       14  expresso nordeste linhas rodov. ltd  01/06/2023        169.72   1  2502   pgto. frete compra
9652        1729 -       14  expresso nordeste linhas rodov. ltd  01/06/2023         82.73   1  2502   pgto. frete compra
457638      1733 -      215  expresso são miguel ltda.            01/06/2023        120.00   1  2502   pgto. frete compra
2023        3893 -      434  pc help informatica ltda.  - me      01/06/2023        800.00   1  2313   software
82579       4156 -      153  metalurgica rf ltda.                 01/06/2023        963.33   1  2501   compra de mercador
632068      4163 -      179  inox-tech com. de aços inoxidaveis   01/06/2023      3,099.30   1  2501   compra de mercador
66164       4173 -      445  richard klinger ind. e com. ltda.    01/06/2023      2,040.27   1  2501   compra de mercador
3989817     4069 -      224  duratex s.a.                         02/06/2023        208.46   1  2501   compra de mercador
28920       4122 -      177  plasnox ind. com. de plasticos ltda  02/06/2023      2,434.31   1  2501   compra de mercador
93089       4165 -      449  usina metais ltda.                   02/06/2023      6,577.50   1  2501   compra de mercador
36209       4192 -      187  floriatec comercial eirel i - epp    02/06/2023      1,410.37   1  2501   compra de mercador
120         4207 -      483  m d lacerda                          02/06/2023        150.00   1  2207   serviços de tercei
2023        3892 -       50  loja da caldeira com de peças ltda.  03/06/2023          1.00   1  2303   material de consum
903646      4153 -        1  tuper s/a divisão de tubos           03/06/2023      1,782.94   1  2501   compra de mercador
903648      4154 -        1  tuper s/a divisão de tubos           03/06/2023      3,148.91   1  2501   compra de mercador
187394      4159 -      265  famabras ind. de apar. de medição l  03/06/2023        847.80   1  2501   compra de mercador
41995       4178 -      418  comercial e importadora de pneus lt  03/06/2023      1,050.00   1  2312   manutenção de veic
4001996     4108 -      224  duratex s.a.                         05/06/2023      1,683.96   1  2501   compra de mercador
328914      4199 -      165  elinox central de aço inox. ltda.    05/06/2023     10,933.12   1  2501   compra de mercador
34302       4230 -      431  irmaos pupim cia ltda.               05/06/2023        926.84   1  2310   combustivel
904925      4148 -        1  tuper s/a divisão de tubos           06/06/2023        839.08   1  2501   compra de mercador
905057      4149 -        1  tuper s/a divisão de tubos           06/06/2023      1,931.47   1  2501   compra de mercador
147590      4168 -       88  diniz vedações industriais ltda.     06/06/2023      1,566.65   1  2501   compra de mercador
17915       4201 -      243  e trivilin & trivilin ltda.          06/06/2023        108.50   1  2501   compra de mercador
